State,Item No,Amount
ID,00002,62
VT,02494,7
SC,00243,28
IL,00616,125
NM,00875,41
AK,00062,24
SC,00134,4
GA,00520,89
HI,00375,6
HI,00039,7
AK,00005,86
SC,00428,37
AZ,00102,223
NH,00073,3
NJ,wo10,3
SD,00880,71
MI,02032,44
CO,00821,49
SD,00943,107
IA,00360,11
NV,00402,57
CT,00019,6
MT,00024,14
MS,02004,15
NY,00930,16
KS,00943,124
MN,00843,134
AZ,00138,162
MD,00078,22
WA,04100,7
LA,00855,3
CO,VP943,4
CA,00916,179
OH,00080,184
CT,00187,16
CO,00243,203
WY,00488,97
AZ,00260,380
MS,00943,14
IA,00481,6
NY,02044,106
AB,00427,3
NV,02486,3
VA,00930,31
MT,00735,6
KY,00520,10
MS,00187,33
AZ,00871,37
GA,00403,297
OR,00041,26
WV,00381,6
WA,00001,194
QC,00467,3
NH,00079,66
MN,00014,312
SC,00916,99
NM,00408,54
NC,00079,32
VA,00965,15
OH,00270,26
IN,00018,28
GA,00991,3
KS,02060,10
MD,00197,4
OK,00060,47
GA,00126,107
CT,00270,9
VA,00184,87
MO,00375,12
MO,00018,78
MI,00108,46
CO,00660,114
NE,00865,78
WY,00260,118
OH,04100,4
MS,00126,4
CT,00943,41
MN,00138,413
WI,00078,105
UT,00872,71
MD,00260,38
LA,00184,3
NM,00126,31
WI,02493,18
ND,00610,16
OR,00298,17
AK,00123,3
OK,00882,3
NE,00381,7
TX,00004,2406
IL,00072,54
NM,00379,38
FL,02061,28
PA,00967,11
GA,00492,703
BC,00100,8
FL,00134,8
CO,00001,252
CT,00197,16
MN,00995,86
OH,00941,145
SC,00180,7
VT,00140,3
NM,00481,19
NJ,02061,18
OH,00930,9
PA,00061,1590
MN,00697,336
DE,02102,13
HI,00780,4
WV,00074,8
MD,00001,29
MD,00100,10
ON,00002,6
NE,00530,41
MA,00943,51
CO,00101,529
WY,00044,32
NJ,00941,157
ID,00942,95
NC,00735,6
TX,00134,65
MT,00140,133
ND,00058,104
AR,00350,36
NV,02060,16
MD,00003,65
NE,00990,6
MA,00880,38
AR,00871,11
CA,00243,523
MS,00427,76
OH,00881,54
NC,02488,96
CO,00750,34
MI,02056,20
NJ,00115,201
KY,00840,4
MI,02050,25
MT,00482,182
AL,00070,18
WY,00965,8
OH,00965,15
KY,02080,4
WY,00481,15
FL,00740,42
AR,00102,149
MO,00780,5
NE,00405,46
AL,04000,7
NC,00755,9
WI,00100,121
IL,00425,16
FL,00841,42
TN,00019,24
MT,09001,14
CA,00942,550
AL,00199,48
ND,00619,7
PR,00870,3
CO,02755,3
GA,00755,42
ID,00243,22
TX,00883,240
ID,00130,7
VT,00403,4
TX,00070,457
OH,00364,8
KS,00210,10
WI,02482,6
AZ,00195,54
UT,01005,208
CO,00199,622
TN,00872,26
WI,00851,170
VT,00697,3
CA,VP941,19
CO,00650,255
TX,00241,106
WI,00960,4
FL,00180,613
ND,00195,10
PA,00765,108
UT,00005,426
WI,00075,182
MO,01102,5
MI,01435,139
FL,00916,125
ND,00006,7
RI,00616,5
CA,04000,283
ND,00404,99
CA,00058,1162
MD,02050,6
WY,00785,14
OH,00820,173
FL,00755,36
TN,00934,3
MO,00080,98
GA,00073,268
ID,00916,69
MN,01488,50
AZ,00488,267
WY,00990,7
ID,00017,206
MO,02050,5
VA,00155,94
OR,02080,24
UT,00510,61
SC,00425,4
NM,00625,39
WY,00870,92
AL,00102,310
NY,02004,591
NC,00018,73
MN,00131,175
MS,00019,17
NM,00493,65
MO,02493,19
WV,00041,6
NM,00060,204
IL,02077,3
SC,00620,6
WV,00875,4
OH,02745,3
MT,00404,248
WI,00730,6
SC,02061,36
OH,00123,42
KS,02493,56
AZ,00242,3
NH,00140,75
CO,00108,41
PA,02060,162
WY,00192,51
VA,02041,3
IN,00943,119
IL,00061,189
WA,00260,250
MB,00058,10
ID,00491,288
NJ,00630,146
ND,00450,61
TN,00616,43
NM,00130,9
AR,00005,42
KY,00916,121
KS,00460,4
NM,00697,59
CA,02006,62
IL,00004,508
MI,00001,347
KY,00002,40
PR,00074,4
IN,02060,10
RI,00260,8
NE,00403,128
TX,02492,300
TX,00188,216
NJ,00080,161
CT,02493,4
NM,00610,71
IL,01004,8
NM,00613,61
NC,00056,279
IN,00460,32
DE,00032,6
ID,00811,41
BC,00427,20
NY,02074,9
TX,00760,97
MN,00491,815
MS,00403,60
FL,00243,22
SD,00425,74
MI,01004,113
IA,00138,132
IA,00493,194
NC,00740,12
OR,00697,203
ID,00840,28
WI,00850,548
ME,00880,7
ND,00613,15
NC,00383,8
AK,00943,57
CO,00428,172
AK,00270,11
SC,00002,26
NV,00820,30
OK,00620,5
NC,00365,13
VA,00870,200
NE,00195,39
MO,02001,4
IN,00482,5
SK,00126,7
WV,00123,6
CO,00155,260
NJ,02492,62
GA,00381,41
PA,00048,336
OK,00942,26
UT,04000,77
ME,00062,18
WA,00111,35
WI,00934,5
NJ,00881,50
IN,02004,4
NV,00012,66
AR,00138,54
MI,00003,2078
KY,00995,9
ON,00916,4
WA,00003,734
IL,02032,16
WV,00128,23
MI,00111,243
NY,00080,576
NC,00039,348
ND,00530,32
PR,00031,6
MN,00865,106
VA,00080,117
NM,00014,64
OR,00995,24
UT,00041,116
VA,00180,85
ND,00625,93
MN,00195,151
AZ,00493,328
KY,00192,4
FL,00365,37
IN,00745,4
AK,00941,42
MT,00075,103
WV,00115,8
NH,00210,3
MN,00039,615
NV,02004,54
SC,00760,32
NE,00019,66
TX,00730,36
IL,00032,226
MN,00966,54
WA,00730,10
IN,00196,3
SD,00129,464
GA,00845,49
PA,02483,16
GA,00405,63
WV,00872,9
MS,02400,7
MN,00060,508
MD,00406,37
WA,00881,101
VA,00128,70
SD,00960,3
CO,02486,34
GA,00071,18
ME,00129,23
ND,00865,5
MT,00050,65
QL,00062,6
MT,00079,139
NC,00404,839
ID,00133,69
MS,02494,5
CA,00241,279
MD,00934,9
WI,00901,12
CO,00070,137
IA,00131,54
WY,00493,95
LA,00155,24
WA,00934,17
CO,02005,53
CO,00241,37
FL,00188,85
AZ,00360,8
NH,00200,45
MN,00882,205
WI,00003,665
ND,00408,47
MT,00060,144
AL,02061,3
ON,00102,3
CA,01004,221
UT,00450,211
PA,00045,327
NJ,00870,131
MA,00155,31
ME,00943,26
MT,00435,153
MD,02056,12
NY,00780,90
MT,00383,4
WA,01435,51
VA,00855,12
MO,00197,7
NM,00381,5
MI,00197,21
UT,00810,1612
ND,02082,15
PA,00298,242
OR,00843,99
CA,02075,54
MN,00071,9
AK,02486,3
WV,00810,5
WI,00254,23
GA,00433,717
AB,00004,5
NJ,00965,26
MI,00616,161
OR,00073,27
NV,00155,15
MA,00820,28
GA,00056,721
PA,00078,522
WY,00811,21
CO,00180,245
OH,01435,9
OR,01488,25
MD,00111,19
GA,00380,43
NJ,02074,4
IN,00821,5
NV,00184,72
MT,00530,33
NE,00380,37
MI,00260,511
TN,00403,198
CA,02078,123
CA,00131,1172
NV,00881,6
FL,00070,301
BC,00187,5
WI,00032,193
HI,00460,13
NY,02482,15
TX,00133,681
PA,00995,132
PA,00460,265
MN,02070,7
CT,00006,40
FL,02435,33
GA,02024,6
CT,02050,3
ON,00350,8
CO,00851,142
SC,00406,161
KS,00375,10
WV,00192,3
FL,02078,23
KS,00018,20
MO,00460,146
ID,00134,28
IA,00494,233
IN,00375,3
LA,00630,63
AL,00155,120
VA,00115,177
TX,02435,57
MN,00130,20
MO,00187,186
AK,00881,15
HI,00071,6
OK,00131,13
NC,00375,20
LA,02061,4
VT,00048,7
RI,00901,3
AL,00965,29
BC,00197,3
NH,00298,3
PA,00200,1264
NM,00403,152
AZ,00062,305
MS,00018,110
PA,09009,310
SD,01004,31
LA,00080,59
CO,02730,7
GA,00383,11
SC,00070,67
UT,00074,267
HI,00022,7
ME,00187,20
CA,00133,1050
NJ,00184,254
AK,00128,15
WI,00616,57
IL,00406,560
MD,00425,22
CA,02745,8
PA,00780,105
NH,00039,79
MD,00108,5
NV,00880,92
CT,00850,53
OH,00155,58
NJ,00350,31
MD,00428,6
BC,00881,15
NE,00610,27
OR,00840,42
IL,00730,5
AZ,00855,18
TN,00920,35
PA,00140,1547
MN,02080,7
VA,00350,43
TX,00870,977
MN,02031,36
AR,00195,5
TX,00855,94
WY,00810,134
ND,00493,78
AR,00120,97
VA,00120,11
IL,02056,18
MO,00150,43
HI,00482,5
UT,00965,24
BC,00725,3
OK,00494,80
TN,00408,534
IL,02050,8
LA,00871,11
NJ,00155,122
SD,02482,3
UT,09012,5
PA,02070,35
CA,00617,155
TN,00045,73
NE,00845,69
OH,01003,11
MT,00770,6
WV,00031,42
TN,00467,211
AL,00810,33
VT,00072,33
NE,00966,6
MI,00129,1066
AB,00187,3
NV,00943,94
IA,00840,24
MD,00254,9
KY,00433,34
IN,00380,8
NV,00617,3
HI,00056,12
WA,02482,6
HI,09001,5
SC,02435,33
CA,00024,627
TN,00381,7
NY,00460,384
MI,00425,65
RI,00062,215
WA,00960,6
AZ,00960,9
ID,00841,3
AL,00630,17
IA,00882,128
NE,00074,20
MI,02745,5
ME,00080,15
WY,01005,6
AL,00184,25
SC,02075,36
NY,00660,68
WI,00111,26
PA,09010,211
ID,00970,7
ON,00365,7
MD,00032,37
VA,00941,125
AZ,00510,35
VT,00060,4
ND,00400,8
MN,00024,39
HI,00865,5
AK,01003,89
OK,00138,19
ND,00488,87
NY,00022,256
UT,00785,22
TX,00650,654
CO,00725,20
IN,00435,55
NJ,00062,319
TN,01102,7
QL,00870,5
BC,00150,3
NJ,03090,17
TN,00379,82
SD,01435,63
IL,00650,53
OR,00841,4
MN,02725,4
MT,00467,94
WV,00450,13
MI,00943,485
WI,00187,258
OK,00017,27
SC,04000,17
WA,00943,329
NJ,00005,362
GA,02012,132
MI,02077,10
CO,00820,179
GA,00022,232
MO,02074,5
NC,00022,87
NM,00491,81
FL,00760,48
MO,00943,100
NM,00467,76
IN,00080,13
WA,02074,13
NV,00022,80
HI,00012,9
UT,00811,261
OK,00070,5
IL,04100,6
AR,00883,8
WI,00150,13
IA,00740,8
MD,00508,6
KY,00031,67
AZ,00450,105
TN,00254,21
UT,00192,78
SC,00841,35
DE,00079,3
TX,00620,125
NJ,00199,406
RI,00943,3
NM,00138,53
IL,02003,88
TX,00061,966
MA,00129,257
PA,02102,767
AR,02061,12
ID,00070,109
OH,00350,41
WV,00630,35
MN,00073,27
SD,00901,12
IL,00775,5
TX,01004,281
CO,00004,833
IA,00720,7
IL,00111,13
AK,00080,68
AR,00115,92
BC,00943,64
NH,00082,59
OR,00365,8
FL,00620,110
SK,00613,4
TX,00775,140
OH,02775,8
WA,00901,11
LA,00883,4
WA,00062,322
MT,00048,202
IA,00130,5
LA,00350,5
NM,00494,54
NE,00625,94
ME,00003,112
MI,00072,349
WY,04000,8
CO,00114,119
AR,00870,120
CO,00775,37
TN,00032,196
SD,00003,248
AK,00630,17
UT,00379,194
IA,00610,19
TX,00114,88
MA,01435,6
IN,00433,168
LA,00102,47
AL,00617,3
AK,00184,47
MD,01004,5
OH,00821,19
DE,00820,4
SC,02078,5
WI,00197,56
IA,00697,151
ME,00005,32
CA,00188,521
BC,00004,18
CA,00620,245
KY,00630,92
ND,02062,100
NH,00995,6
KS,00427,62
KY,02031,5
UT,00031,1026
OH,00184,154
ON,00870,9
PA,00050,609
CA,00180,517
IL,02494,46
FL,VP941,13
ND,00875,27
PA,00075,477
AR,00613,6
NH,00460,92
VA,00123,22
BC,00486,9
RI,00003,46
OH,02486,11
MA,00260,184
FL,02075,9
CA,00364,118
AB,00650,6
LA,00941,31
AK,00155,3
VA,00630,143
IA,02062,5
MO,00920,8
PA,00964,20
MD,00616,14
AL,02041,4
WA,00425,102
AR,02492,23
VA,02492,11
ME,00197,21
PA,02003,513
SC,02492,20
IA,00245,23
MI,00934,29
MT,00082,69
IL,00078,72
OH,03090,4
AZ,00123,40
TX,00225,143
MT,00298,19
AK,00880,39
IA,02082,24
WY,00450,81
AL,00840,11
MO,00210,50
NJ,00880,282
MT,00765,8
MT,00045,152
TX,00199,673
ND,00192,5
MN,00056,391
OH,00129,388
WA,02493,183
MI,02493,161
MD,02002,4
WV,00044,3
ID,00760,21
UT,00990,9
TN,02408,25
CT,00851,16
PA,00210,498
WY,00510,17
NV,00660,12
IN,09001,4
MO,00270,42
OR,02031,35
KS,00080,54
ID,00617,13
WI,02032,7
ME,00260,9
MN,00735,24
AR,00855,24
NJ,02486,19
OH,00940,157
PA,00012,735
NC,02012,11
KY,00882,4
SD,02056,3
AK,03090,7
IL,00934,13
IN,00270,19
AZ,00720,49
ID,01005,5
FL,00199,254
CA,02082,122
WV,00379,16
ID,00250,24
MT,02488,38
MI,04100,5
AL,02492,12
NC,00050,99
DE,00854,3
KS,00270,13
IA,00843,72
NY,00745,27
RI,00880,100
LA,00820,11
NV,VP940,19
AR,01003,18
LA,00005,12
NC,VP940,14
NC,02481,5
MO,00765,11
CO,00100,253
NM,00530,21
TX,02075,53
VT,00966,3
NY,02012,32
OH,02074,8
SD,00260,201
GA,00427,321
TX,00942,289
GA,02481,9
MS,02032,5
WI,00101,246
AK,00940,58
AZ,00610,45
OH,00943,156
ID,04000,14
IN,02488,10
AZ,00120,52
WI,00428,9
ND,00872,21
MD,02032,3
VT,00405,3
MI,02002,16
NC,00196,3
WI,00750,11
DE,00850,10
MA,00660,48
NM,00404,132
NC,00082,30
NC,00435,121
WA,02022,6
GA,09001,6
ON,00755,4
OR,00060,191
GA,00435,357
ND,00481,25
FL,00840,133
MI,02022,5
AR,00625,23
HI,00200,14
IA,00014,54
KS,00486,17
NH,02003,32
KS,00187,38
OR,00740,3
CO,00617,51
IN,00780,4
OR,00865,49
MO,02004,46
SC,00115,71
SD,00111,362
NJ,00123,26
ID,00024,30
OR,00491,322
NV,00210,17
NC,00298,36
OK,02006,6
ID,00241,59
NC,00210,45
IL,00254,28
MA,00080,76
MS,00486,33
VA,00820,87
ME,02486,21
NY,02102,489
OR,00039,405
AZ,00003,204
FL,02492,193
VT,02408,5
MS,00072,19
AZ,01003,23
NJ,00871,25
NJ,00883,55
CA,00840,633
OH,00062,135
IA,00966,8
WY,00062,57
UT,00044,298
WY,00483,22
QL,00810,3
GA,00990,32
IN,00427,61
RI,00129,29
MO,00200,90
HI,00140,12
VA,00871,16
VT,00616,5
LA,02492,34
TN,00405,41
KS,00383,18
ME,02050,20
DE,00061,5
AR,00128,118
NV,02001,7
CO,02041,19
MD,00072,8
ID,VP941,7
NC,00995,17
MI,00730,34
AR,00123,81
SC,00508,5
ND,00467,57
WA,03090,37
SC,00188,40
OR,00720,9
KY,00039,243
MA,00821,3
KS,00380,16
IA,00060,77
VT,00014,15
CA,00508,166
VA,00102,371
LA,00115,16
WA,00129,698
HI,00041,4
WI,00108,10
WY,00005,65
NY,00018,448
TN,00078,123
CO,00850,740
AR,00630,21
HI,00427,14
ID,00138,185
IA,00491,264
PA,DC467,1793
OR,00966,33
OR,00024,36
MI,02482,7
QL,00184,3
WI,01004,5
WI,00001,79
MI,00960,28
AZ,00870,54
SD,00881,19
IL,00225,72
IA,00619,15
OR,00494,317
MA,00965,11
IN,00210,7
WI,00775,16
GA,02400,12
WI,00072,81
GA,00018,271
WV,00530,3
SD,00616,32
WV,00005,38
ME,00881,8
NH,00061,87
NC,00925,13
FL,00970,10
FL,00520,724
GA,00920,74
MS,00405,19
NE,00077,3
AZ,00883,106
NE,02408,6
HI,00435,8
CA,02435,324
TN,02024,16
GA,02031,96
CO,00250,36
FL,00002,573
SD,02050,3
PA,99800,5
IN,00492,98
MD,00101,30
MA,00003,486
OH,00880,134
AZ,00625,88
IL,02491,53
OR,00882,80
NV,00821,5
AK,00364,3
NC,02080,15
ND,00770,6
NM,00195,14
CA,02775,20
AZ,00491,224
IN,00820,36
SC,00882,43
NC,00073,100
SC,01004,14
ID,00494,284
WY,00115,152
MO,00427,32
IN,01435,32
AR,02072,9
KS,02050,4
WA,00616,86
NE,00483,9
TN,00126,48
MD,00775,5
PA,09020,1063
SD,00270,65
MN,00041,72
AL,00942,40
VT,00408,24
OH,00120,77
GA,VP940,13
VA,00883,5
OR,00014,245
MN,00841,10
WY,00195,23
UT,00488,860
NM,00872,31
SD,02032,12
MO,04100,3
CO,02765,3
GA,00079,234
CA,00134,383
WY,00871,17
AR,00810,31
NJ,00940,149
OH,00128,104
WI,02056,27
TN,00483,15
NC,00770,7
NE,00044,28
AR,00965,7
IL,00402,14
VA,02050,9
SC,00130,18
NM,02435,5
ID,00080,124
QL,00941,6
MO,00402,25
KS,00004,145
MN,00467,289
SD,00428,38
IN,00004,94
WI,02102,283
SD,00004,249
KY,00610,9
CO,00111,79
MN,02735,3
PA,00520,286
MO,00072,66
GA,00950,6
SD,00775,11
AK,00616,50
UT,DP810,2195
NC,00006,31
OH,00134,18
TN,00995,29
OK,00128,7
AZ,00494,292
SC,00129,124
OH,01004,11
MT,02031,11
FL,00811,137
WY,00131,79
NY,02050,6
WI,00056,364
TX,01003,233
OK,00811,3
AB,00467,15
IN,00072,29
NM,00245,4
GA,00078,205
NM,00520,21
VA,00620,4
VA,00840,24
MD,01488,12
SC,00128,88
IA,00102,284
IA,00617,4
TN,00039,456
AK,00001,43
UT,00841,22
MN,00755,23
NV,00508,25
CO,02044,96
NE,02488,57
MD,00075,29
NJ,00616,53
ND,00060,43
UT,00975,3
MI,02785,5
IL,00045,50
HI,00031,26
NJ,02002,8
MD,00881,25
ND,00433,74
MD,02486,3
CO,00062,264
NC,00811,94
UT,00494,450
MT,00427,45
NH,02491,15
VT,00435,4
NJ,04100,5
CA,00102,2720
IA,00530,44
IN,00402,13
MI,00101,979
MA,00620,11
NC,00845,38
AZ,00881,85
MD,00079,20
WI,00298,20
ME,00428,22
IA,00875,82
PA,02770,7
MS,02483,4
MA,00180,15
OR,00408,248
NY,00508,36
CT,00075,25
MN,02062,12
AZ,00225,96
SD,00032,159
NH,00187,38
UT,DP404,1401
AL,00882,38
TX,02486,74
AZ,00131,122
MT,00056,142
KS,00650,17
IL,00350,25
WV,00129,54
OK,00810,17
UT,00491,356
MN,00855,40
SD,00650,71
NM,00740,24
UT,00130,178
TN,00427,166
AL,00120,71
PA,02494,327
UT,DP056,790
VT,00017,7
DE,00018,12
AB,00403,4
WA,00350,128
MA,00254,34
MA,00428,23
CT,00060,25
MI,00350,124
VA,02435,11
AZ,00650,217
TN,00050,109
NY,00775,68
IA,00024,12
MD,02003,16
NJ,02032,5
SD,00078,242
RI,00045,133
VA,00425,71
MA,00114,25
FL,00785,30
WY,00613,106
CA,00882,754
KS,00078,9
SC,00883,16
OR,00520,43
OH,00101,149
NE,00242,5
OH,00870,178
MT,00380,22
ND,00492,100
NV,00428,20
MT,00039,163
IN,00381,11
IN,00078,52
SC,02072,3
WY,00365,6
MB,00450,9
MA,02435,6
TN,01488,15
BC,02003,6
CA,00481,242
MT,00995,10
FL,00060,787
IN,00845,6
NY,02024,11
HI,00610,18
MO,00061,192
MN,00520,134
HI,00851,7
IA,00041,10
OH,00775,60
OH,00188,49
SD,00100,225
WI,00045,127
SC,00062,44
AR,00916,21
TN,02070,4
KS,00061,58
QL,00943,4
OK,00102,79
NE,00770,3
NC,00126,260
IL,02002,7
CT,00078,41
MO,00821,60
IL,00880,146
WA,00871,61
MA,00883,10
NY,00725,7
VT,00492,93
PA,02004,539
AL,00941,68
AZ,00001,78
AL,00115,185
MA,00960,5
ND,00740,43
LA,00131,19
FL,00882,208
WI,02022,8
AZ,00077,8
UT,00102,495
IL,00108,14
LA,00870,5
MT,00400,14
TN,00075,40
CA,00017,1311
LA,00775,8
UT,00630,191
IA,01003,27
OH,00630,101
LA,00940,61
NE,00435,79
SD,02486,6
NH,00150,3
SC,00133,24
MT,00433,137
KY,00493,129
ME,00072,3
TN,00450,252
NH,02494,9
PA,02408,434
NJ,00134,8
SD,00406,259
CO,00941,296
CT,00048,16
OH,02492,43
UT,00242,10
WA,02486,81
LA,00840,16
MN,00990,45
MO,00254,42
KS,00402,12
TN,00079,112
OH,00001,65
ND,00014,69
BC,01488,25
CA,00493,2884
GA,00006,416
SD,00114,99
AL,00916,44
OH,00901,4
WY,00901,7
MN,00365,20
MN,00180,290
CO,00003,939
HI,00854,35
NM,00970,15
NE,00765,11
AL,00017,116
AR,00360,6
NY,02056,13
MS,00200,8
IN,00048,20
MA,00250,25
CA,00488,3985
NY,00820,173
BC,00660,6
VA,01435,25
KS,00048,14
OR,00467,185
CO,02775,6
WI,00745,8
WA,00406,497
FL,00184,327
MT,00073,75
IA,04000,5
NV,00851,19
MT,01488,28
NJ,00901,7
NE,00400,16
LA,00260,122
IL,03090,3
NY,00197,31
KY,00408,159
MI,03090,13
AR,00188,3
VT,00073,3
CT,00254,6
PA,VP940,861
MI,02755,5
ND,00383,4
NY,02032,49
UT,00520,43
WI,00880,147
NV,02074,5
SD,00883,11
IA,00488,245
AK,00108,10
MT,00403,121
WV,00843,12
SD,03090,5
WV,00003,28
ID,00720,184
IN,00032,61
RI,00184,81
KS,00032,24
UT,00003,552
OH,00616,73
OH,00003,350
MD,00050,15
MI,00225,72
NC,00785,13
WI,00155,73
VA,00260,47
LA,00620,15
LA,00138,172
AZ,04000,22
MT,00017,99
GA,00613,270
FL,00115,453
GA,00785,41
VT,00427,3
KY,00625,79
WI,00004,702
ON,00810,8
NJ,00129,371
WY,00138,188
OH,00730,5
TN,00056,242
SD,00225,52
WY,03090,7
ME,00883,25
FL,02041,3
IA,00872,47
KS,02102,46
TN,00882,103
LA,00965,6
AK,00101,88
SC,00245,7
OR,00074,100
ND,00966,20
AZ,00811,92
MS,00012,80
SD,00199,203
NE,00920,3
AR,04000,3
IL,00881,32
AK,00003,154
CA,00775,253
SC,00821,42
MN,00404,877
WI,02486,8
WY,00610,38
AL,02493,9
KY,00074,11
FL,02486,10
UT,00740,35
SC,00871,37
AR,00131,75
NY,04100,22
ME,02077,13
NC,00048,57
GA,00975,9
NJ,00188,33
FL,01005,7
SD,00045,232
ND,00845,10
SC,00120,53
NH,00486,5
AK,00188,14
AR,02075,3
OK,00508,10
GA,00075,210
GA,00196,12
WA,02492,244
NE,00482,11
AR,00881,12
OH,00111,35
NJ,02435,23
SD,00108,16
AK,00199,59
OH,02022,16
PA,00851,586
MI,02492,161
NY,00383,18
FL,00379,502
BC,00650,21
MO,02032,13
LA,02050,4
IN,00910,3
LA,03090,3
AB,00854,5
VA,00960,6
WV,00625,8
TN,00481,10
NY,00750,15
ME,00406,43
NM,00133,26
MA,00855,7
BC,02056,11
TX,00871,219
NM,00966,6
OR,00056,199
ND,02072,6
OK,00840,5
TN,00720,10
ID,00128,98
MI,02730,5
OH,00260,133
HI,00074,13
PA,00925,36
MI,00775,58
NE,00467,77
NY,00006,490
RI,00004,102
CO,00425,154
MA,00616,3
KY,00450,15
MT,00071,9
TX,00022,772
SD,00254,9
ND,00755,3
GA,00625,165
NV,02050,14
NY,02077,4
LA,01435,35
SD,00155,258
MI,00075,323
UT,00001,201
ME,00032,16
OR,00006,76
PA,00920,103
NE,00138,165
MD,00821,8
CT,00140,10
HI,00520,10
WI,00650,154
UT,00735,19
CA,00940,1479
IA,00070,15
KS,00072,22
AK,00260,42
ND,00132,38
MN,00044,83
PA,00018,774
BC,00850,34
NH,00990,5
TX,00200,922
PA,02012,124
IL,00114,13
OR,00990,10
PA,00022,788
WY,00619,17
TN,02039,30
FL,02006,26
RI,00048,121
NV,00940,72
SC,00138,76
ME,00254,6
NY,02491,118
NY,00270,169
CA,00821,56
NY,00845,73
WY,00960,3
MS,00075,58
NM,02078,3
PA,00072,444
IL,00820,83
IL,00082,47
NM,00619,22
KS,00381,29
MA,00108,4
CT,00616,16
NM,00134,10
MN,00408,663
WY,00881,22
PR,00060,6
MS,00140,101
RI,00101,36
TX,02044,69
AK,00406,86
NJ,00934,4
OR,00192,38
RI,00870,7
CO,00129,681
FL,00720,62
SD,00184,52
OK,00843,15
MT,02006,4
AK,VP943,5
KS,02494,49
CO,00925,4
NM,00058,61
AL,00660,14
AK,02005,4
MI,00750,35
GA,00811,103
CO,01102,260
AR,00024,25
OR,00760,7
MN,02435,17
MI,00870,157
FL,00155,202
WI,00073,64
OH,00934,7
WA,00870,110
MD,00745,3
ID,00843,173
OR,00400,4
IA,00381,18
MO,00032,197
GA,00400,69
MO,02077,3
MO,00616,92
IN,00650,15
MT,00492,207
RI,00199,15
NY,00486,251
OH,02056,13
MI,00881,81
MD,02039,9
OH,02050,10
IA,02006,5
NJ,00111,94
AK,00870,48
NY,00187,473
MA,00901,3
TX,02745,4
WV,00062,11
ID,00450,103
NH,00022,24
MO,00966,32
AK,02032,4
CO,00730,19
UT,DP850,2190
VT,00380,5
IA,00074,22
IN,02102,11
MS,00078,95
AR,00620,5
OK,00002,69
NV,00750,16
OH,02005,40
GA,00048,302
NM,00006,49
WY,00720,18
NC,00140,369
OK,00379,30
KS,00845,16
WI,00082,41
AZ,02075,7
NM,00735,11
QL,00197,4
TX,00880,925
UT,00195,57
SD,00048,290
SC,00402,31
IL,00298,21
IN,00061,107
VA,00131,141
BC,00408,13
AK,02435,8
NH,00850,12
PA,00019,558
NM,00845,12
BC,00940,64
DE,00056,5
AB,00850,25
NE,00131,55
TN,00022,96
BC,00225,5
CT,00966,8
WY,00755,15
WV,00493,16
VT,00433,26
VA,00616,26
MO,00004,298
MA,00199,361
OH,02435,36
NY,00150,32
AK,00428,3
ID,00930,8
TX,00364,182
NM,00755,4
NH,00427,31
RI,00350,15
PA,02032,159
NC,00254,24
ME,00048,51
SC,00745,4
MN,00031,686
OH,02032,7
MO,00022,62
DE,00140,15
ND,00510,20
UT,00875,345
CO,02492,144
HI,02004,7
NY,00402,145
AR,02486,11
